id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
1021714,https://4lapy.ru//catalog/koshki/korm-koshki/Mealfeel_suhoy_korm_dlya_koshek_Indoor_kuritsey_i_indeykoy.html?offer=44335,"Functional Nutrition Indor Корм для домашних кошек старше 1 года, с курицей и индейкой, 1,5 кг",1649,824.5,Mealfeel
1021703,https://4lapy.ru//catalog/koshki/korm-koshki/Wellkiss_suhoy_korm_dlya_koshek_Senior_s_yagnenkom.html?offer=44339,"Adult Сухой корм для взрослых кошек, с курицей, 8 кг",4999,2499.5,Wellkiss
1021702,https://4lapy.ru//catalog/koshki/korm-koshki/korm-sukhoy-dlya-sterilizovannykh-koshek-s-yagnenkom-8-kg.html?offer=44341,"Sterilized Сухой корм для стерилизованных кошек, с ягненком, 3 кг",2249,1124.5,Wellkiss
1054528,https://4lapy.ru//catalog/koshki/korm-koshki/korm-suhoy-dlya-priveredlivyh-koshek-s-indeykoy.html?offer=148192,"Adult Exigent Корм сухой для привередливых кошек, с индейкой, 8 кг",3899,2924.25,Wellkiss
1018445,https://4lapy.ru//catalog/koshki/korm-koshki/Wellkiss_korm_suhoy_korm_dlya_kotyat_kuritsey.html?offer=44160,"Kitten Сухой корм для котят, с курицей, 400 гр.",419,209.5,Wellkiss
1039281,https://4lapy.ru//catalog/koshki/korm-koshki/korm-suhoy-dlya-sterilizovannyh-koshek-s-tuncom.html?offer=110849,"Sterilized Корм сухой для стерилизованных кошек, с тунцом, 1.5 кг",1199,899.25,Wellkiss
1054479,https://4lapy.ru//catalog/koshki/korm-koshki/veterinary-diets-nf-early-care-vlazhnyy-korm-dlya-podderzhaniya-funkcii-pochek-na-nachalnoy-stadii-s-kuricey-85g.html?offer=148051,"Влажный корм Veterinary Diets NF Early care для кошек для поддержания функции почек на начальной стадии с курицей, 85 г",147,not_pomo_price,Purina
1050751,https://4lapy.ru//catalog/koshki/korm-koshki/classic-korm-dlya-sterilizovannyh-koshek-s-kuricey.html?offer=138270,"Adult Sterilized Classic Сухой корм для стерилизованных кошек, с курицей, 4 кг",2169,not_pomo_price,Ownat
1011129,https://4lapy.ru//catalog/koshki/korm-koshki/Royal_Canin_Sterilised_pauch_dlya_sterilizovannyh_koshek_starshe_1_goda_v_souse_85_g_1011129.html?offer=41624,"Sterilised влажный корм для стерилизованных кошек в соусе, 85 г",79,not_pomo_price,Royal Canin
1044812,https://4lapy.ru//catalog/koshki/korm-koshki/just-korm-dlya-sterilizovannyh-koshek-bezzernovoy-s-kuricey.html?offer=124629,"Adult Sterilized Корм сухой беззерновой для стерилизованных кошек, с курицей, 3 кг",2745,not_pomo_price,Ownat
1054523,https://4lapy.ru//catalog/koshki/korm-koshki/korm-suhoy-dlya-koshek-steril-s-yagnenkom.html?offer=148185,"Adult Sterilized Корм сухой для стерилизованных кошек, с ягненком, 8 кг",3899,2924.25,Wellkiss
